Repository's Location,Branch,Author's GitHub ID,Author's Display Name,Author's Git Author Name,Ignore Glob List
https://github.com/reposense/RepoSense.git,master,AdityaA1998,Aditya,AdityaA1998,
https://github.com/reposense/RepoSense.git,master,yong24s,Yong Hao,Yong Hao TENG,
https://github.com/reposense/RepoSense.git,master,eugenepeh,Eugene,Eugene Peh,
https://github.com/reposense/RepoSense.git,master,ongspxm,Metta,Metta Ong,
https://github.com/reposense/RepoSense.git,master,yamidark,Jun An,Jun An,
https://github.com/MarkBind/markbind.git,master,yamgent,Wang Leng,Tan Wang Leng,
https://github.com/MarkBind/markbind.git,master,Chng-Zhi-Xuan,Chng Zhi Xuan,Chng-Zhi-Xuan,
https://github.com/MarkBind/markbind.git,master,nusjzx,Jia,nusjzx,
https://github.com/TEAMMATES/teammates.git,recycling-bin,dalessr,Shengran,Sun Shengran,
https://github.com/TEAMMATES/teammates.git,master,jacoblipech,Jacob,Jacob,
https://github.com/TEAMMATES/teammates.git,master,tshradheya,Shradheya,Shradheya Thakre,
https://github.com/TEAMMATES/teammates.git,master,tanhengyeow,Heng Yeow,Heng Yeow,
https://github.com/TEAMMATES/teammates.git,master,sukanta-27,Sukanta,Sukanta Roy,
https://github.com/TEAMMATES/teammates.git,master,mg14777,Mudit,Mudit Gupta,
https://github.com/TEAMMATES/teammates.git,master,nidhi98gupta,Nidhi,Nidhi Gupta,
https://github.com/MarkBind/vue-strap.git,master,yamgent,Wang Leng,Tan Wang Leng,
https://github.com/MarkBind/vue-strap.git,master,Chng-Zhi-Xuan,Chng Zhi Xuan,Chng-Zhi-Xuan,
https://github.com/MarkBind/vue-strap.git,master,nusjzx,Jia,nusjzx,
